epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6398,3.48251,3.7189,1.66003,0.0019,0.00966,0.00097,0.00024,2.29113,3.67088,1.25794,2e-05,2e-05,2e-05
2,22.2675,3.29799,3.68418,1.62436,0.00333,0.01691,0.0017,0.00039,1.99919,3.65301,1.17332,5.8812e-05,5.8812e-05,5.8812e-05
3,32.6859,2.39591,3.56266,1.28195,0.00571,0.02899,0.00298,0.00088,1.73612,3.62532,1.07328,9.604e-05,9.604e-05,9.604e-05
4,43.101,1.79289,3.37636,1.11917,0.00571,0.02899,0.00304,0.00095,1.72833,3.59419,1.02824,0.000131684,0.000131684,0.000131684
5,53.5413,1.56038,3.11407,1.01757,0.01048,0.05314,0.00607,0.00206,1.53379,3.55573,0.97279,0.000165744,0.000165744,0.000165744
6,63.884,1.51797,2.68301,0.95712,0.03905,0.19807,0.0363,0.01397,1.31077,3.48121,0.91786,0.00019822,0.00019822,0.00019822
7,75.7621,1.51513,2.21307,0.93413,0.09095,0.46135,0.12165,0.04987,1.28779,3.33374,0.89191,0.000229112,0.000229112,0.000229112
8,87.3153,1.40487,1.75461,0.92319,0.12095,0.61353,0.21408,0.09263,1.38157,3.16177,0.89702,0.00025842,0.00025842,0.00025842
9,97.1497,1.2166,1.3262,0.89581,0.13524,0.68599,0.31252,0.12408,1.51817,3.05957,0.91745,0.000286144,0.000286144,0.000286144
10,107.81,1.28566,1.23921,0.89484,0.15857,0.80435,0.48271,0.16785,1.68424,2.89087,0.94612,0.000312284,0.000312284,0.000312284
11,118.339,1.29679,1.1521,0.88696,0.17952,0.91063,0.60487,0.21285,1.71026,2.7107,0.94705,0.00033684,0.00033684,0.00033684
12,128.621,1.36538,1.11367,0.88957,0.18952,0.96135,0.69325,0.27657,1.55947,2.49195,0.91279,0.000359812,0.000359812,0.000359812
13,141.3,1.3645,1.08433,0.88978,0.88109,0.66219,0.83136,0.4212,1.36624,2.23891,0.8765,0.0003812,0.0003812,0.0003812
14,151.976,1.19494,1.00838,0.87438,0.93941,0.56174,0.88286,0.51877,1.2825,1.96546,0.86539,0.000401004,0.000401004,0.000401004
15,162.942,1.35986,1.01049,0.88188,0.88317,0.69324,0.89656,0.54983,1.32695,1.7427,0.87061,0.000419224,0.000419224,0.000419224
